Segment,Rank,Cam Master,Cam Slave,MPJPE (mm),PA-MPJPE (mm),Avg Score,local_belief Master,local_belief Slave,Old MPJPE,Old PA-MPJPE,Delta_MPJPE,Delta_PA-MPJPE,MPJPE_head,MPJPE_left_ankle,MPJPE_left_elbow,MPJPE_left_hip,MPJPE_left_knee,MPJPE_left_shoulder,MPJPE_left_wrist,MPJPE_right_ankle,MPJPE_right_elbow,MPJPE_right_hip,MPJPE_right_knee,MPJPE_right_shoulder,MPJPE_right_wrist,PA-MPJPE_head,PA-MPJPE_left_ankle,PA-MPJPE_left_elbow,PA-MPJPE_left_hip,PA-MPJPE_left_knee,PA-MPJPE_left_shoulder,PA-MPJPE_left_wrist,PA-MPJPE_right_ankle,PA-MPJPE_right_elbow,PA-MPJPE_right_hip,PA-MPJPE_right_knee,PA-MPJPE_right_shoulder,PA-MPJPE_right_wrist
seg_4,49,cam3,cam5,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,50,cam3,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,51,cam3,cam7,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,52,cam3,cam8,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,53,cam4,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,54,cam4,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,55,cam4,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,56,cam5,cam1,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,57,cam5,cam3,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seg_4,58,cam5,cam6,N/A,N/A,N/A,0.00,0.00,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
